INFO:root:Ran with args: ([], '/mnt/Disk_2/work/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: ([], '/mnt/Disk_2/work/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: ([], '/mnt/Disk_2/work/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: ([], '/mnt/Disk_2/work/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
INFO:root:Ran with args: (['/media/zachlab/Windows/LinuxStorage/images/ND2_Files/20181030_seq0_xy2.nd2'], '/media/zachlab/Windows/LinuxStorage/images/archive/temp'), and kwargs: {}
