parent	daughter.1	daughter.2
P0	AB	P1
AB	ABa	ABp
ABa	ABal	ABar
ABal	ABala	ABalp
ABala	ABalaa	ABalap
ABalaa	ABalaaa	ABalaap
ABalaaa	ABalaaaa	ABalaaap
ABalaaaa	ABalaaaal	ABalaaaar
ABalaaaal	ABalaaaala	ABalaaaalp
ABalaaaala	ABalaaaalal	ABalaaaalar
ABalaaaalp	ABalaaaalpa	ABalaaaalpp
ABalaaaar	ABalaaaarl	ABalaaaarr
ABalaaaarl	ABalaaaarla	ABalaaaarlp
ABalaaaarr	ABalaaaarra	ABalaaaarrp
ABalaaap	ABalaaapa	ABalaaapp
ABalaaapa	ABalaaapal	ABalaaapar
ABalaaapal	ABalaaapall	ABalaaapalr
ABalaaapar	ABalaaaparl	ABalaaaparr
ABalaaapp	ABalaaappl	ABalaaappr
ABalaaappl	ABalaaappll	ABalaaapplr
ABalaaappr	ABalaaapprl	ABalaaapprr
ABalaap	ABalaapa	ABalaapp
ABalaapa	ABalaapaa	ABalaapap
ABalaapaa	ABalaapaaa	ABalaapaap
ABalaapaaa	ABalaapaaal	ABalaapaaar
ABalaapaap	ABalaapaapa	ABalaapaapp
ABalaapap	ABalaapapa	ABalaapapp
ABalaapapp	ABalaapappa	ABalaapappp
ABalaapp	ABalaappa	ABalaappp
ABalaappa	ABalaappaa	ABalaappap
ABalaappap	ABalaappapa	ABalaappapp
ABalaappp	ABalaapppa	ABalaapppp
ABalaapppa	ABalaapppaa	ABalaapppap
ABalaapppp	ABalaappppa	ABalaappppp
ABalaappppa	ABalaappppaa	ABalaappppap
ABalap	ABalapa	ABalapp
ABalapa	ABalapaa	ABalapap
ABalapaa	ABalapaaa	ABalapaap
ABalapaaa	ABalapaaaa	ABalapaaap
ABalapaaaa	ABalapaaaaa	ABalapaaaap
ABalapaaap	ABalapaaapa	ABalapaaapp
ABalapaap	ABalapaapa	ABalapaapp
ABalapaapa	ABalapaapaa	ABalapaapap
ABalapaapp	ABalapaappa	ABalapaappp
ABalapaappa	ABalapaappaa	ABalapaappap
ABalapap	ABalapapa	ABalapapp
ABalapapa	ABalapapaa	ABalapapap
ABalapapap	ABalapapapa	ABalapapapp
ABalapapapa	ABalapapapaa	ABalapapapap
ABalapapp	ABalapappa	ABalapappp
ABalapappa	ABalapappaa	ABalapappap
ABalapappaa	ABalapappaaa	ABalapappaap
ABalapappp	ABalapapppa	ABalapapppp
ABalapp	ABalappa	ABalappp
ABalappa	ABalappaa	ABalappap
ABalappaa	ABalappaaa	ABalappaap
ABalappaap	ABalappaapa	ABalappaapp
ABalappap	ABalappapa	ABalappapp
ABalappapa	ABalappapaa	ABalappapap
ABalappapp	ABalappappa	ABalappappp
ABalappp	ABalapppa	ABalapppp
ABalapppa	ABalapppaa	ABalapppap
ABalapppaa	ABalapppaaa	ABalapppaap
ABalapppap	ABalapppapa	ABalapppapp
ABalapppapa	ABalapppapaa	ABalapppapap
ABalapppp	ABalappppa	ABalappppp
ABalappppa	ABalappppaa	ABalappppap
ABalappppaa	ABalappppaaa	ABalappppaap
ABalappppp	ABalapppppa	ABalapppppp
ABalp	ABalpa	ABalpp
ABalpa	ABalpaa	ABalpap
ABalpaa	ABalpaaa	ABalpaap
ABalpaaa	ABalpaaaa	ABalpaaap
ABalpaaaa	ABalpaaaaa	ABalpaaaap
ABalpaaaaa	ABalpaaaaaa	ABalpaaaaap
ABalpaaaap	ABalpaaaapa	ABalpaaaapp
ABalpaaap	ABalpaaapa	ABalpaaapp
ABalpaaapa	ABalpaaapaa	ABalpaaapap
ABalpaaapp	ABalpaaappa	ABalpaaappp
ABalpaap	ABalpaapa	ABalpaapp
ABalpaapa	ABalpaapaa	ABalpaapap
ABalpaapaa	ABalpaapaaa	ABalpaapaap
ABalpaapap	ABalpaapapa	ABalpaapapp
ABalpaapp	ABalpaappa	ABalpaappp
ABalpaappa	ABalpaappaa	ABalpaappap
ABalpaappp	ABalpaapppa	ABalpaapppp
ABalpap	ABalpapa	ABalpapp
ABalpapa	ABalpapaa	ABalpapap
ABalpapaa	ABalpapaaa	ABalpapaap
ABalpapaaa	ABalpapaaaa	ABalpapaaap
ABalpapaap	ABalpapaapa	ABalpapaapp
ABalpapap	ABalpapapa	ABalpapapp
ABalpapapa	ABalpapapaa	ABalpapapap
ABalpapapap	ABalpapapapa	ABalpapapapp
ABalpapapp	ABalpapappa	ABalpapappp
ABalpapp	ABalpappa	ABalpappp
ABalpappa	ABalpappaa	ABalpappap
ABalpappaa	ABalpappaaa	ABalpappaap
ABalpappaap	ABalpappaapa	ABalpappaapp
ABalpappap	ABalpappapa	ABalpappapp
ABalpappp	ABalpapppa	ABalpapppp
ABalpapppa	ABalpapppaa	ABalpapppap
ABalpapppp	ABalpappppa	ABalpappppp
ABalpp	ABalppa	ABalppp
ABalppa	ABalppaa	ABalppap
