	Time	Cell	Tissue
AB	3		
ABa	19		
ABal	43		
ABala	56		
ABalaa	75		
ABalaaa	103		
ABalaaaa	137		
ABalaaaal	181		
ABalaaaala	232		
ABalaaaalal	330	AINL	Nervous
ABalaaaalar	330	death	Death
ABalaaaalp	232		
ABalaaaalpa	325	death	Death
ABalaaaalpp	325	ILshL	Glia
ABalaaaar	181		
ABalaaaarl	233		
ABalaaaarla	314	death	Death
ABalaaaarlp	314	RMEL	Nervous
ABalaaaarr	233		
ABalaaaarra	314	death	Death
ABalaaaarrp	314	RMER	Nervous
ABalaaap	137		
ABalaaapa	175		
ABalaaapal	225		
ABalaaapall	299	ILsoL	Glia
ABalaaapalr	299	AVDL	Nervous
ABalaaapar	225		
ABalaaaparl	313	death	Death
ABalaaaparr	313	ILshDL	Glia
ABalaaapp	175		
ABalaaappl	226		
ABalaaappll	312	ILshDR	Glia
ABalaaapplr	312	death	Death
ABalaaappr	226		
ABalaaapprl	300	AVDR	Nervous
ABalaaapprr	300	ILsoR	Glia
ABalaap	103		
ABalaapa	137		
ABalaapaa	181		
ABalaapaaa	236		
ABalaapaaal	334	death	Death
ABalaapaaar	334	AINR	Nervous
ABalaapaap	236		
ABalaapaapa	325	death	Death
ABalaapaapp	325	ILshR	Glia
ABalaapap	181		
ABalaapapa	235	death	Death
ABalaapapp	235		
ABalaapappa	309	death	Death
ABalaapappp	309	CEPsoVR	Glia
ABalaapp	137		
ABalaappa	175		
ABalaappaa	230	death	Death
ABalaappap	230		
ABalaappapa	308	AVAR	Nervous
ABalaappapp	308	OLQsoVR	Glia
ABalaappp	175		
ABalaapppa	223		
ABalaapppaa	316	RIAR	Nervous
ABalaapppap	316	death	Death
ABalaapppp	223		
ABalaappppa	289		
ABalaappppaa	400	IL1R	Nervous
ABalaappppap	400	death	Death
ABalaappppp	289	IL2R	Nervous
ABalap	75		
ABalapa	103		
ABalapaa	135		
ABalapaaa	175		
ABalapaaaa	229		
ABalapaaaaa	348	AVHL	Nervous
ABalapaaaap	348	death	Death
ABalapaaap	229		
ABalapaaapa	301	CANL	Nervous
ABalapaaapp	301	OLLsoL	Glia
ABalapaap	175		
ABalapaapa	225		
ABalapaapaa	321	RIAL	Nervous
ABalapaapap	321	death	Death
ABalapaapp	225		
ABalapaappa	291		
ABalapaappaa	400	IL1L	Nervous
ABalapaappap	400	death	Death
ABalapaappp	291	IL2L	Nervous
ABalapap	135		
ABalapapa	171		
ABalapapaa	226	death	Death
ABalapapap	226		
ABalapapapa	291		
ABalapapapaa	400	OLQDL	Nervous
ABalapapapap	400	death	Death
ABalapapapp	291	URYDL	Nervous
ABalapapp	171		
ABalapappa	218		
ABalapappaa	279		
ABalapappaaa	400	IL1DL	Nervous
ABalapappaap	400	death	Death
ABalapappap	279	IL2DL	Nervous
ABalapappp	218		
ABalapapppa	294	AVJL	Nervous
ABalapapppp	294	CEPsoDL	Glia
ABalapp	103		
ABalappa	135		
ABalappaa	178		
ABalappaaa	239	death	Death
ABalappaap	239		
ABalappaapa	339	RID	Nervous
ABalappaapp	339	death	Death
ABalappap	178		
ABalappapa	227		
ABalappapaa	332	AVHR	Nervous
ABalappapap	332	death	Death
ABalappapp	227		
ABalappappa	295	CANR	Nervous
ABalappappp	295	OLLsoR	Glia
ABalappp	135		
ABalapppa	172		
ABalapppaa	219		
ABalapppaaa	295	ALA	Nervous
